iter	Passed	Remaining
0	292	116848
1	467	93089
2	638	84464
3	804	79671
4	973	76907
5	1137	74682
6	1303	73208
7	1473	72198
8	1639	71238
9	1817	70870
10	1991	70414
11	2175	70338
12	2358	70206
13	2542	70099
14	2727	70012
15	2900	69612
16	3074	69263
17	3249	68962
18	3435	68884
19	3622	68829
20	3792	68451
21	3953	67931
22	4102	67248
23	4273	66950
24	4442	66638
25	4630	66604
26	4793	66216
27	4947	65737
28	5102	65275
29	5282	65152
30	5470	65114
31	5642	64888
32	5810	64615
33	5996	64553
34	6180	64458
35	6382	64534
36	6614	64898
37	6816	64933
38	7047	65231
39	7282	65543
40	7476	65463
41	7703	65667
42	7882	65446
43	8070	65296
44	8294	65437
45	8506	65463
46	8726	65543
47	8910	65340
48	9110	65260
49	9291	65038
50	9553	65374
51	9776	65426
52	10049	65795
53	10328	66178
54	10606	66529
55	10839	66582
56	11102	66812
57	11367	67029
58	11602	67059
59	11872	67279
60	12164	67600
61	12447	67859
62	12692	67895
63	12970	68097
64	13214	68103
65	13469	68164
66	13749	68338
67	14053	68614
68	14303	68615
69	14563	68654
70	14790	68535
71	15071	68659
72	15140	67819
73	15450	68066
74	15734	68180
75	16012	68262
76	16281	68297
77	16547	68310
78	16813	68316
79	17050	68203
80	17305	68153
81	17569	68136
82	17796	67971
83	18063	67954
84	18299	67817
85	18533	67670
86	18777	67554
87	19021	67438
88	19283	67383
89	19554	67354
90	19770	67131
91	20013	67000
92	20217	66738
93	20419	66473
94	20651	66303
95	20884	66133
96	21163	66107
97	21388	65911
98	21575	65597
99	21751	65253
100	21939	64951
101	22198	64855
102	22466	64782
103	22728	64688
104	22965	64520
105	23203	64357
106	23472	64274
107	23725	64145
108	23962	63974
109	24208	63823
110	24474	63722
111	24742	63623
112	24988	63466
113	25222	63277
114	25497	63188
115	25768	63089
116	26010	62915
117	26247	62726
118	26430	62410
119	26592	62048
120	26753	61687
121	26956	61424
122	27131	61102
123	27331	60833
124	27539	60585
125	27740	60325
126	27971	60126
127	28190	59905
128	28424	59713
129	28645	59493
130	28881	59306
131	29115	59113
132	29358	58936
133	29589	58737
134	29820	58535
135	29987	58211
136	30204	57983
137	30417	57748
138	30659	57568
139	30888	57364
140	31107	57141
141	31314	56894
142	31546	56696
143	31748	56442
144	31958	56202
145	32151	55935
146	32366	55704
147	32570	55458
148	32801	55255
149	33005	55009
150	33214	54771
151	33419	54526
152	33632	54295
153	33837	54052
154	34037	53801
155	34239	53554
156	34450	53320
157	34656	53080
158	34867	52849
159	35074	52611
160	35292	52390
161	35513	52173
162	35742	51968
163	35939	51717
164	36152	51490
165	36355	51247
166	36578	51034
167	36778	50788
168	36983	50551
169	37191	50317
170	37393	50077
171	37611	49856
172	37806	49607
173	38009	49369
174	38211	49128
175	38459	48948
176	38667	48717
177	38875	48485
178	39077	48246
179	39289	48020
180	39489	47780
181	39704	47557
182	39897	47310
183	40104	47078
184	40313	46850
185	40517	46616
186	40765	46433
187	40982	46214
188	41182	45976
189	41390	45747
190	41613	45535
191	41839	45326
192	42058	45109
193	42277	44892
194	42485	44664
195	42692	44435
196	42886	44192
197	43091	43962
198	43305	43740
199	43528	43528
200	43755	43320
201	43957	43086
202	44154	42849
203	44363	42623
204	44565	42391
205	44783	42174
206	44995	41952
207	45305	41820
208	45511	41591
209	45733	41378
210	45937	41147
211	46143	40919
212	46336	40680
213	46555	40464
214	46768	40242
215	46970	40011
216	47167	39777
217	47367	39545
218	47572	39318
219	47787	39099
220	48000	38878
221	48195	38643
222	48406	38421
223	48615	38197
224	48828	37977
225	49048	37762
226	49278	37555
227	49470	37319
228	49678	37096
229	49888	36874
230	50101	36654
231	50305	36428
232	50506	36200
233	50720	35981
234	50933	35761
235	51137	35536
236	51358	35322
237	51569	35101
238	51787	34886
239	51994	34662
240	52197	34437
241	52415	34221
242	52632	34005
243	52835	33779
244	53034	33552
245	53245	33332
246	53455	33111
247	53695	32910
248	53909	32691
249	54116	32470
250	54328	32250
251	54523	32021
252	54750	31811
253	54969	31596
254	55168	31370
255	55384	31153
256	55580	30926
257	55804	30713
258	56025	30500
259	56239	30282
260	56445	30061
261	56659	29843
262	56869	29624
263	57083	29406
264	57288	29184
265	57504	28968
266	57714	28748
267	57933	28534
268	58134	28311
269	58358	28098
270	58561	27876
271	58769	27656
272	58986	27440
273	59197	27222
274	59413	27005
275	59622	26786
276	59832	26568
277	60039	26348
278	60240	26125
279	60449	25906
280	60666	25691
281	60883	25476
282	61093	25257
283	61324	25047
284	61538	24831
285	61753	24615
286	61951	24391
287	62158	24172
288	62353	23948
289	62564	23731
290	62784	23517
291	62994	23299
292	63203	23081
293	63400	22858
294	63613	22641
295	63819	22423
296	64038	22208
297	64228	21984
298	64424	21762
299	64623	21541
300	64820	21319
301	65029	21102
302	65251	20889
303	65457	20670
304	65679	20457
305	65892	20241
306	66101	20024
307	66324	19811
308	66544	19597
309	66747	19378
310	66971	19165
311	67179	18947
312	67418	18739
313	67628	18522
314	67840	18306
315	68054	18090
316	68256	17871
317	68459	17652
318	68689	17441
319	68893	17223
320	69121	17011
321	69327	16793
322	69535	16576
323	69730	16356
324	69947	16141
325	70158	15925
326	70372	15710
327	70571	15491
328	70775	15273
329	70990	15058
330	71216	14845
331	71416	14627
332	71623	14410
333	71837	14195
334	72048	13979
335	72278	13767
336	72483	13550
337	72695	13334
338	72891	13116
339	73102	12900
340	73311	12684
341	73545	12472
342	73746	12255
343	73956	12039
344	74173	11824
345	74414	11613
346	74610	11395
347	74821	11180
348	75024	10963
349	75240	10748
350	75440	10531
351	75659	10317
352	75855	10099
353	76076	9885
354	76277	9668
355	76494	9454
356	76694	9237
357	76904	9022
358	77110	8806
359	77313	8590
360	77533	8376
361	77761	8162
362	77987	7949
363	78218	7735
364	78433	7521
365	78633	7304
366	78843	7089
367	79039	6873
368	79262	6658
369	79460	6442
370	79690	6229
371	79934	6016
372	80150	5801
373	80362	5586
374	80570	5371
375	80772	5155
376	80995	4941
377	81204	4726
378	81433	4512
379	81637	4296
380	81842	4081
381	82037	3865
382	82258	3651
383	82458	3435
384	82673	3221
385	82882	3006
386	83087	2791
387	83289	2575
388	83487	2360
389	83696	2146
390	83906	1931
391	84101	1716
392	84316	1501
393	84520	1287
394	84724	1072
395	84941	857
396	85148	643
397	85360	428
398	85560	214
399	85780	0
